X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,ano,contagem,media,minimo,maximo,stddev,variancia
-36855,-5.66699999999997,1121,PIA30,RN,,lentico,12,IGARN,-5667,-36855,Barragem Armando Ribeiro (Itaja),2017,2,"73,70","73,70","73,70","0,00","0,00"
-36898,-5.80299999999994,1122,PIA31,RN,,lentico,12,IGARN,-5803,-36898,Barragem Armando Ribeiro,2017,2,"79,40","79,40","79,40","0,00","0,00"
-36.8333,-5.38329999999996,1123,PIA35,RN,,lotico,12,IGARN,-5.3833,-36.8333,Rio Piranhas-Açu,2017,2,"56,50","56,50","56,50","0,00","0,00"
-40.5703099999999,-17252,1124,PIJALB050,BA,,lotico,12,INEMA,-17252,-40.57031,Alcobaça,2017,4,"74,80","70,80","78,80","4,62","21,33"
-40.2307499999999,-17.373056,1125,PIJALB200,BA,,lotico,12,INEMA,-17.373056,-40.23075,Alcobaça,2017,8,"70,85","63,20","76,20","5,15","26,48"
-40.21556,-17377,1126,PIJALB230,BA,,lotico,12,INEMA,-17377,-40.21556,Alcobaça,2017,6,"60,37","52,10","65,90","6,52","42,57"
-39.6456669999999,-17.51325,1127,PIJALB500,BA,,lotico,12,INGÁ,-17.51325,-39.645667,Alcobaça,2017,8,"71325,00","62,90","82,00","7,32","53,61"
-39.427361,-17.5053609999999,1128,PIJALB700,BA,,lotico,12,INGÁ,-17.505361,-39.427361,Alcobaça,2017,8,"72,95","69,80","78,40","3,68","13,54"
-39.22361,-17.5339999999999,1129,PIJALB900,BA,,lotico,12,INEMA,-17534,-39.22361,Alcobaça,2017,8,"72775,00","68,60","77,90","3,55","12,62"
-40.189444,-16.8455559999999,1130,PIJJUC100,BA,,lotico,12,INEMA,-16.845556,-40.189444,Jucuruçu,2017,6,"72,00","68,30","74,50","2,92","8,55"
-39.2533329999999,-17.3108329999999,1131,PIJJUC900,BA,,lotico,12,INEMA,-17.310833,-39.253333,Jucuruçu,2017,8,"67875,00","53,60","75,10","9,03","81,52"
-39.8413399999999,-16.83831,1132,PIJJUN250,BA,,lotico,12,INGÁ,-16.83831,-39.84134,Jucuruçu-Braço Norte,2017,6,"74,63","74,30","75,10","0,37","0,14"
-39.5445,-17.045111,1133,PIJJUN400,BA,,lotico,12,INGÁ,-17.045111,-39.5445,Jucuruçu-Braço Norte,2017,8,"66925,00","60,80","79,00","7,58","57,45"
-39.621417,-17.247917,1134,PIJJUS400,BA,,lotico,12,INGÁ,-17.247917,-39.621417,Jucuruçu-Braço Sul,2017,8,"77,95","67,20","83,70","6,99","48,93"
-39.7876939999999,-17.812694,1135,PIJPRP400,BA,,lotico,12,INGÁ,-17.812694,-39.787694,Peruípe,2017,6,"73,30","70,50","75,60","2,31","5,35"
-46.39111,-22.8808299999999,1136,PJ001,MG,,lotico,2,IGAM,-22.88083,-46.39111,Rio Jaguari,2017,6,"60,23","56,50","63,80","3,27","10,67"
-45.93722,-22.70528,1137,PJ003,MG,,lotico,2,IGAM,-22.70528,-45.93722,Rio Camanducaia,2017,6,"76,27","66,00","81,60","7,95","63,27"
-46.15194,-22.7630599999999,1138,PJ006,MG,,lotico,2,IGAM,-22.76306,-46.15194,Rio Camanducaia,2017,6,"54,13","53,50","54,70","0,54","0,29"
-46.22639,-22.7633299999999,1139,PJ009,MG,,lotico,2,IGAM,-22.76333,-46.22639,Rio Camanducaia,2017,6,"60,47","58,00","63,10","2,28","5,22"
-46.4572199999999,-22.70667,1140,PJ012,MG,,lotico,2,IGAM,-22.70667,-46.45722,Rio do Guardinha,2017,6,"68,43","64,50","70,50","3,05","9,29"
-46365,-22.7544399999999,1141,PJ015,MG,,lotico,2,IGAM,-22.75444,-46365,Rio do Guardinha,2017,6,"63,90","61,20","65,30","2,09","4,38"
-46.39194,-22.7441699999999,1142,PJ018,MG,,lotico,2,IGAM,-22.74417,-46.39194,Rio do Guardinha,2017,6,"65,00","55,00","81,90","13,16","173288,00"
-46.12333,-22.8313899999999,1143,PJ021,MG,,lotico,2,IGAM,-22.83139,-46.12333,Rio Jaguari,2017,6,"70,33","66,90","72,10","2,66","7,07"
-46.30639,-22.84028,1144,PJ024,MG,,lotico,2,IGAM,-22.84028,-46.30639,Rio Jaguari,2017,6,"69,73","67,60","72,40","2,19","4,78"
-37.2954549999999,-7.47631199999995,1145,PJ15,PE,,lentico,12,CPRH,-7.476312,-37.295455,Riacho Cachoeirinha,2017,6,"68,47","50,40","80,10","14,19","201,25"
-37.622608,-7.74513199999996,1146,PJ28,PE,,lentico,12,CPRH,-7.745132,-37.622608,Rio Pajeú,2017,6,"59,23","30,70","75,80","22,20","492,72"
-37.790313,-7.78360599999996,1147,PJ38,PE,,lentico,12,CPRH,-7.783606,-37.790313,Riacho Chinela,2017,2,"52,10","52,10","52,10","0,00","0,00"
-38.2418709999999,-7.99944999999997,1148,PJ53,PE,,lentico,12,CPRH,-7.99945,-38.241871,Rio Pajeú,2017,6,"67,10","55,90","77,40","9,64","92,94"
-38.3222519999999,-7.97380199999998,1149,PJ61,PE,,lentico,12,CPRH,-7.973802,-38.322252,Riacho da Cachoeira,2017,4,"67,40","64,10","70,70","3,81","14,52"
-38.5318779999999,-8.20733199999995,1150,PJ73,PE,,lentico,12,CPRH,-8.207332,-38.531878,Rio Pajeú,2017,4,"55,20","53,50","56,90","1,96","3,85"
-38.073595,-8.44886099999997,1151,PJ79,PE,,lentico,12,CPRH,-8.448861,-38.073595,Riacho do Navio,2017,4,"72,80","68,70","76,90","4,73","22,41"
-42.696389,-11.971111,1152,PMIGRD500,BA,,lotico,12,INEMA,-11.971111,-42.696389,Riacho Grande,2017,8,"70075,00","58,40","76,50","7,49","56,14"
-42.1297,-13.3964,1153,PMIMRF800,BA,PMIMRF001,lotico,12,INEMA,-13.3964,-42.1297,Morro do Fogo,2017,4,"72,50","63,30","81,70","10,62","112,85"
-42.14453,-13.4179999999999,1154,PMIPMI100,BA,,lotico,12,INEMA,-13418,-42.14453,Paramirim,2017,8,"72,75","62,10","81,20","8,51","72,39"
-42.288889,-13.3280559999999,1155,PMIPMI200,BA,,lotico,12,INEMA,-13.328056,-42.288889,Paramirim,2017,6,"60,33","51,20","77,70","13,46","181,12"
-43.222639,-12.187194,1156,PMIRSF350,BA,,lotico,2,INGÁ,-12.187194,-43.222639,Rio São Francisco,2017,10,"69,12","55,80","83,30","9,69","93,91"
-43.1210829999999,-11.0821109999999,1157,PMIRSF450,BA,,lotico,2,INGÁ,-11.082111,-43.121083,Rio São Francisco,2017,8,"75,65","62,70","84,30","8,66","74,96"
-42.7267219999999,-10.8133329999999,1158,PMIRSF470,BA,,lotico,2,INGÁ,-10.813333,-42.726722,Rio São Francisco,2017,8,"70825,00","61,50","84,50","9,93","98,58"
-38.688213,-7.11662899999993,1159,PMS02,CE,,lentico,12,COGERH,-7.116629,-38.688213,Açude Pompeu Sobrinho,2017,6,"56,53","36,60","70,10","15,77","248,77"
-35.073925,-8.28731099999993,1160,PP53,PE,,lentico,12,CPRH,-8.287311,-35.073925,Rio Pirapama,2017,8,"71,95","57,20","88,00","12,33","152,05"
-35.0506,-8.23639999999995,1161,PP66,PE,,lentico,12,CPRH,-8.2364,-35.0506,Rio Gurjaú,2017,8,"68875,00","46,80","82,20","14,80","219,14"
-39.382418,-6.80118499999998,1162,PPE01,CE,,lentico,12,COGERH,-6.801185,-39.382418,Informação não disponível,2017,2,"54,30","54,30","54,30","0,00","0,00"
-39.31731,-5.20082299999996,1163,PRA01,CE,,lentico,12,COGERH,-5.200823,-39.31731,Informação não disponível,2017,8,"84,20","71,40","90,40","8,17","66,78"
