X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,Ano_1,Cont_1,Media_1,Min_1,Max_1,Stddev_1,Variance_1
-38.3167779999999,-12.5128609999999,1316,RCNJCP200,BA,,lotico,12,INGÁ,-12.512861,-38.316778,Rio Jacuípe,2017,8,71.95,61.4,77,6.59025254231036,43.4314285714281
-38.29123,-12.52591,1317,RCNJCP250,BA,,lotico,12,INGÁ,-12.52591,-38.29123,Rio Jacuípe,2017,8,60825,59,65.8,3.07466606781465,9.45357142857081
-38.132167,-12.6025,1318,RCNJCP500,BA,,lotico,12,INGÁ,-12.6025,-38.132167,Rio Jacuípe,2017,8,77975,72.4,82.4,3.84438365857104,14.779285714288
-38.439444,-12.8988889999999,1319,RCNJGB100,BA,,lotico,12,INEMA,-12.898889,-38.439444,Jaguaribe,2017,6,22.1,19,24.5,2.51872983862901,6.34400000000011
-38.38068,-12.9254,1320,RCNJGB600,BA,,lotico,12,INGÁ,-12.9254,-38.38068,Rio Jaguaribe,2017,6,36.1,33.3,38.8,2.46089414644367,6.05600000000074
-38.540944,-12.592167,1321,RCNJOA050,BA,,lotico,12,INGÁ,-12.592167,-38.540944,Rio Joanes,2017,6,60.8333333333333,57.5,67.1,4.85743416493384,23.5946666666666
-38.45883,-12.60578,1322,RCNJOA200,BA,,lotico,12,INGÁ,-12.60578,-38.45883,Rio Joanes,2017,6,57.8,49.5,62.4,6.44173889567104,41.4960000000011
-38.354306,-12.718833,1323,RCNJOA400,BA,,lotico,12,INGÁ,-12.718833,-38.354306,Rio Joanes,2017,8,65825,40.4,79.9,17.1861031899947,295.362142857145
-38.313028,-12.839556,1324,RCNJOA600,BA,,lotico,12,INGÁ,-12.839556,-38.313028,Rio Joanes,2017,8,38.8,30.7,49.6,7.87582195256924,62.0285714285715
-38.290556,-12.8622779999999,1325,RCNJOA900,BA,,lotico,12,INGÁ,-12.862278,-38.290556,Rio Joanes,2017,8,28.25,24.7,31.9,2.78824061269571,7.77428571428572
-38.45758,-12.7105799999999,1326,RCNJRG800,BA,,lotico,12,INGÁ,-12.71058,-38.45758,Rio Jacarecanga,2017,6,33.4666666666667,29.6,40.2,5.23475564536364,27.4026666666665
-38.3914599999999,-12.6049199999999,1327,RCNLAM500,BA,,lentico,12,INGÁ,-12.60492,-38.39146,Rio Lamarão,2017,6,77.5666666666667,76.2,79.4,1.47603071332109,2.17866666666717
-38.4597219999999,-12.8930559999999,1328,RCNLCO001,BA,,lentico,12,INEMA,-12.893056,-38.459722,Lagoa do Cobre,2017,6,76.1333333333333,70.4,85.1,7.03496031734854,49.4906666666686
-38.4422309999999,-12.981617,1329,RCNLDF001,BA,,lentico,12,INEMA,-12.981617,-38.442231,Lagoa dos Frades,2017,6,58.1333333333333,51.8,65,5.91765719408176,35.0186666666676
-38.439444,-12.9630559999999,1330,RCNLDR001,BA,,lentico,12,INEMA,-12.963056,-38.439444,Lagoa do Paraíso / Doron,2017,6,56.6666666666667,53.2,61.6,3.92462312415686,15.4026666666667
-38.314806,-12.9203889999999,1331,RCNLFL001,BA,,lentico,12,INEMA,-12.920389,-38.314806,Lagoa Praia do Flamengo,2017,6,77.3333333333333,72.6,81.3,3.93581842399592,15.4906666666657
-38.413056,-12.966944,1332,RCNLPI001,BA,,lotico,12,INEMA,-12.966944,-38.413056,Lagoa Parque de Pituaçu,2017,6,71.1,66.6,74,3.53383644216856,12.4879999999985
